caracterisitca: color_pelo Yellow - cantidad de heroes: 1
caracterisitca: color_pelo Brown - cantidad de heroes: 2
caracterisitca: color_pelo Black - cantidad de heroes: 6
caracterisitca: color_pelo Auburn - cantidad de heroes: 1
caracterisitca: color_pelo Red / orange - cantidad de heroes: 1
caracterisitca: color_pelo White - cantidad de heroes: 1
caracterisitca: color_pelo No hair - cantidad de heroes: 4
caracterisitca: color_pelo Blond - cantidad de heroes: 4
caracterisitca: color_pelo Green - cantidad de heroes: 1
caracterisitca: color_pelo Red - cantidad de heroes: 1
caracterisitca: color_pelo Brown / white - cantidad de heroes: 1
